,strike,ask,bid,impliedVolatility,type,maturityDate,maturity,optionPrice
42,26.0,,,0.0,call,2020-06-12,0.10714285714285714,
43,30.5,0.61,0.41,0.313483427734375,call,2020-06-12,0.10714285714285714,0.51
44,28.0,,,0.0,put,2020-06-12,0.10714285714285714,
45,29.0,0.89,0.77,0.3461979443359374,put,2020-06-12,0.10714285714285714,0.8300000000000001
46,23.0,8.3,0.0,1.2251015307617186,call,2020-06-26,0.1626984126984127,4.15
47,23.5,,,0.0,call,2020-06-26,0.1626984126984127,
48,25.0,,,0.0,put,2020-06-26,0.1626984126984127,
49,22.0,,,0.0,call,2020-08-21,0.38492063492063494,
50,23.0,,,0.0,call,2020-08-21,0.38492063492063494,
51,27.0,4.95,4.55,0.5776409423828125,call,2020-08-21,0.38492063492063494,4.75
52,28.0,2.59,2.49,0.29395237304687494,call,2020-08-21,0.38492063492063494,2.54
53,29.0,2.02,1.84,0.2919992675781249,call,2020-08-21,0.38492063492063494,1.9300000000000002
54,30.0,1.45,1.26,0.27539787109374997,call,2020-08-21,0.38492063492063494,1.355
55,31.0,0.92,0.8,0.24976336181640624,call,2020-08-21,0.38492063492063494,0.8600000000000001
56,32.0,0.62,0.45,0.24658956542968752,call,2020-08-21,0.38492063492063494,0.535
57,33.0,0.36,0.21,0.23389437988281248,call,2020-08-21,0.38492063492063494,0.285
58,34.0,0.21,0.07,0.22852333984375,call,2020-08-21,0.38492063492063494,0.14
59,35.0,0.13,0.01,0.2304764453125,call,2020-08-21,0.38492063492063494,0.07
60,36.0,0.21,0.0,0.29004616210937495,call,2020-08-21,0.38492063492063494,0.105
61,37.0,0.0,0.0,0.12500875,call,2020-08-21,0.38492063492063494,0.0
62,38.0,0.0,0.0,0.12500875,call,2020-08-21,0.38492063492063494,0.0
63,39.0,0.09,0.0,0.31055376953124997,call,2020-08-21,0.38492063492063494,0.045
64,40.0,0.14,0.0,0.36133451171875,call,2020-08-21,0.38492063492063494,0.07
65,41.0,0.25,0.11,0.43555251953125,call,2020-08-21,0.38492063492063494,0.18
66,42.0,0.27,0.0,0.46680220703125,call,2020-08-21,0.38492063492063494,0.135
67,43.0,0.5,0.0,0.570316796875,call,2020-08-21,0.38492063492063494,0.25
68,44.0,0.57,0.0,0.516606396484375,call,2020-08-21,0.38492063492063494,0.285
69,14.0,0.25,0.0,0.80664255859375,put,2020-08-21,0.38492063492063494,0.125
70,15.0,0.24,0.01,0.7402369726562499,put,2020-08-21,0.38492063492063494,0.125
71,16.0,0.25,0.01,0.6835969140625001,put,2020-08-21,0.38492063492063494,0.13
72,17.0,0.0,0.0,0.2500075,put,2020-08-21,0.38492063492063494,0.0
73,18.0,0.0,0.0,0.2500075,put,2020-08-21,0.38492063492063494,0.0
74,19.0,0.24,0.15,0.561527822265625,put,2020-08-21,0.38492063492063494,0.195
75,20.0,0.28,0.19,0.5293015820312501,put,2020-08-21,0.38492063492063494,0.23500000000000001
